time,flux,filt,sample
-0.583333333332785,-0.26309908550079086,g,1
-0.5416666666661136,-0.2653755997375278,g,1
-0.49999999999944933,-0.26765691288310833,g,1
-0.4583333333327815,-0.26994225020696305,g,1
-0.4166666666661101,-0.2722325271167243,g,1
-0.3749999999994422,-0.27452614732854386,g,1
-0.3333333333327708,-0.2768244254482042,g,1
-0.2916666666661101,-0.2791271159497377,g,1
-0.24999999999943512,-0.28143354887015803,g,1
-0.20833333333276727,-0.283744316302009,g,1
-0.16666666666610297,-0.2860590536294545,g,1
-0.12499999999943512,-0.2883773745233036,g,1
-0.08333333333276727,-0.29070020518477335,g,1
-0.04166666666610297,-0.2930267418552006,g,1
5.719869022868806e-13,-0.29535712987509655,g,1
0.04166666666723984,-0.2976913872049174,g,1
0.08333333333390769,-0.3000294660398204,g,1
0.12500000000057554,-0.30237116409532305,g,1
0.16666666666723629,-0.30471670830200637,g,1
0.20833333333390414,-0.3070661203329834,g,1
0.25000000000057554,-0.30941907724084317,g,1
0.2916666666672434,-0.31177569941598193,g,1
0.3333333333339148,-0.3141357369688613,g,1
0.3750000000005791,-0.3164993261955118,g,1
0.4166666666672434,-0.31886649897382213,g,1
0.45833333333391835,-0.32123718292420733,g,1
0.5000000000005862,-0.323611224823555,g,1
0.541666666667254,-0.3259887426631636,g,1
0.5833333333339183,-0.3283696269401446,g,1
0.6250000000005826,-0.3307539510445032,g,1
0.6666666666672505,-0.3331413655539244,g,1
0.7083333333339219,-0.3355322572153696,g,1
0.7500000000005862,-0.3379262107212426,g,1
0.7916666666672576,-0.340323569339926,g,1
0.8333333333339255,-0.34272395705994896,g,1
0.8750000000005933,-0.34512738329703296,g,1
0.9166666666672647,-0.34753408705183375,g,1
0.958333333333929,-0.34994398357173395,g,1
1.0000000000005933,-0.3523565380395688,g,1
1.0416666666672612,-0.3547724281421445,g,1
1.083333333333929,-0.3571915080907466,g,1
1.1250000000006004,-0.3596129306938387,g,1
1.1666666666672683,-0.3620378379329914,g,1
1.2083333333339326,-0.3644652334323162,g,1
1.250000000000604,-0.366895653617366,g,1
1.2916666666672718,-0.3693289936876525,g,1
1.333333333333936,-0.37176495616217053,g,1
1.375000000000611,-0.37420393971247634,g,1
1.4166666666672718,-0.3766454408098845,g,1
1.4583333333339397,-0.3790899428362522,g,1
1.500000000000611,-0.3815365349147264,g,1
1.541666666667279,-0.38398603133710196,g,1
1.5833333333339432,-0.3864383050032849,g,1
1.6250000000006182,-0.38889325892724713,g,1
1.666666666667279,-0.3913509559853985,g,1
1.7083333333339503,-0.39381065114555724,g,1
1.7500000000006182,-0.3962730011835447,g,1
1.7916666666672825,-0.39873838846199305,g,1
1.8333333333339503,-0.4012054775501639,g,1
1.8750000000006182,-0.4036755818278266,g,1
1.9166666666672896,-0.4061476319979995,g,1
1.9583333333339539,-0.40862239006491663,g,1
2.0000000000006217,-0.4110994611993455,g,1
2.0416666666672896,-0.413578521095161,g,1
2.0833333333339574,-0.4160603303066388,g,1
2.1250000000006253,-0.4185445670540382,g,1
2.1666666666672967,-0.4210304553321542,g,1
2.2083333333339645,-0.4235190129965609,g,1
2.2500000000006324,-0.4260096489071472,g,1
2.2916666666672967,-0.42850218583507527,g,1
2.333333333333968,-0.43099746565435737,g,1
2.3750000000006324,-0.4334938820288379,g,1
2.416666666667304,-0.435993317721433,g,1
2.458333333333968,-0.4384947662283132,g,1
2.500000000000636,-0.44099794074992715,g,1
2.541666666667304,-0.4435031722595433,g,1
2.583333333333975,-0.4460107304450176,g,1
2.6250000000006395,-0.44852006525891497,g,1
2.6666666666673144,-0.4510312871077993,g,1
2.708333333333975,-0.453544583246984,g,1
2.75000000000065,-0.45605950174540766,g,1
2.791666666667311,-0.45857696446374163,g,1
2.833333333333986,-0.46109567824095876,g,1
2.8750000000006537,-0.46361626338038064,g,1
2.916666666667318,-0.4661390050224874,g,1
2.9583333333339823,-0.46866346180627616,g,1
3.00000000000065,-0.4711894868363835,g,1
3.041666666667318,-0.47371751486169345,g,1
3.083333333333993,-0.4762472535257132,g,1
3.125000000000661,-0.4787786454722216,g,1
3.166666666667325,-0.4813117310253823,g,1
3.2083333333339894,-0.48384654670106997,g,1
3.2500000000006644,-0.4863826304995271,g,1
3.2916666666673287,-0.48892105764106475,g,1
3.333333333334,-0.4914607009441134,g,1
3.3750000000006644,-0.4940019550536938,g,1
3.4166666666673358,-0.4965449406549425,g,1
3.4583333333340036,-0.49908914065421683,g,1
3.5000000000006644,-0.501635085403727,g,1
3.5416666666673393,-0.5041828843526304,g,1
3.583333333334007,-0.5067317762611516,g,1
3.6250000000006715,-0.5092819763177197,g,1
3.6666666666673393,-0.5118337769284551,g,1
3.7083333333340107,-0.5143873529970584,g,1
3.7500000000006715,-0.5169419121313013,g,1
3.791666666667343,-0.5194978587199834,g,1
3.8333333333340143,-0.5220554260618364,g,1
3.875000000000675,-0.5246143717713636,g,1
3.91666666666735,-0.5271746858518505,g,1
3.958333333334007,-0.5297364035362868,g,1
4.000000000000682,-0.5322994313378793,g,1
4.041666666667346,-0.5348633406319685,g,1
4.083333333334021,-0.5374287835809284,g,1
4.125000000000686,-0.5399955877225047,g,1
4.166666666667357,-0.5425635974028751,g,1
4.208333333334018,-0.5451326671392316,g,1
4.250000000000686,-0.5477028909549908,g,1
4.2916666666673535,-0.550274347794165,g,1
4.3333333333340285,-0.5528473346278133,g,1
4.375000000000689,-0.5554209701724204,g,1
4.416666666667361,-0.5579961091396974,g,1
4.458333333334025,-0.560572001648417,g,1
4.500000000000696,-0.5631493896773314,g,1
4.541666666667368,-0.5657276207244877,g,1
4.583333333334036,-0.5683071665153498,g,1
4.6250000000007,-0.5708875011242363,g,1
4.666666666667371,-0.5734688848384621,g,1
4.708333333334036,-0.576051492613221,g,1
4.7500000000007105,-0.5786350133058313,g,1
4.791666666667368,-0.5812193868499911,g,1
4.833333333334043,-0.583804975663984,g,1
4.8750000000007105,-0.5863910571814124,g,1
4.916666666667378,-0.5889786890200526,g,1
4.958333333334046,-0.5915666969307338,g,1
5.0000000000007105,-0.594156067015355,g,1
5.041666666667382,-0.5967462372326544,g,1
5.08333333333405,-0.5993372472060088,g,1
5.125000000000707,-0.6019290133240425,g,1
5.166666666667378,-0.6045217829741176,g,1
5.208333333334053,-0.6071152440130163,g,1
5.250000000000714,-0.6097094490514081,g,1
5.2916666666673855,-0.6123048470491099,g,1
5.333333333334046,-0.6149008299068548,g,1
5.375000000000725,-0.617497666616714,g,1
5.416666666667382,-0.6200948940808679,g,1
5.4583333333340605,-0.6226933228605631,g,1
5.500000000000725,-0.6252922801799627,g,1
5.541666666667396,-0.6278920820420595,g,1
5.583333333334068,-0.630492531572969,g,1
5.625000000000732,-0.6330935607854826,g,1
5.666666666667393,-0.6356957721784546,g,1
5.708333333334057,-0.6382984273095076,g,1
5.750000000000728,-0.6409014503671777,g,1
5.791666666667393,-0.6435052377498707,g,1
5.833333333334075,-0.6461098881449132,g,1
5.875000000000739,-0.6487150619236282,g,1
5.916666666667403,-0.6513205715061083,g,1
5.958333333334068,-0.65392694505206,g,1
6.0000000000007425,-0.6565336282530971,g,1
6.04166666666741,-0.6591413811779319,g,1
6.083333333334075,-0.6617494999576188,g,1
6.1250000000007425,-0.664358398017626,g,1
6.166666666667407,-0.6669672664916604,g,1
